storeCode,storeName,address,latitude,longitude,distance,startTime,endTime,openYn,holidayYn,openYmd,salesCloseYmd,searchKeywords,storeImageUrl,smartReturnYn,salesStoreYn,remainQuantity,o2oRemainQuantity,pickupYn,payOperDt,statusCode,promotionYn,newOpenYn,oyHotPlaceYn,popupYn,clickCnt,businessPlaceShapeTypeCode,promotionInfo,couponInfo,skinScanYn,oliveBetterFlag
D188,부산남포점,부산광역시 중구 광복로 64-1,35.0989363,129.0319303,329.76,1000,2230,False,False,20121231,,,D188_2025041181822471.png,True,False,0,0,True,,E,False,False,False,False,41,DA,,,False,False
DEA4,부산마린시티아이파크점,부산광역시 해운대구 마린시티2로 38 해운대아이파크 C동 109호~111호,35.157037795554,129.143328681551,330.1,1000,2230,False,False,20240627,,,DEA4_2024102821414552.jpg,True,False,0,0,True,,E,False,False,False,False,25,DA,,,False,False
DF85,롯데백화점광복점,부산광역시 중구 중앙대로 2 3층,35.0979848964696,129.036632251022,330.08,1030,2100,False,False,20250919,,,DF85_2025092621612241.jpg,True,False,0,0,False,,E,False,False,False,False,22,DA,,,True,False
DEE2,해운대센트럴점,"부산광역시 해운대구 해운대로 650 해운대센트럴푸르지오 상가 101,102호",35.1646347674204,129.161318999574,330.36,1000,2300,True,False,20250110,,,DEE2_202501131836475.png,True,False,0,0,True,,O,False,False,False,False,31,DA,,,False,False
DA6B,해운대역점,부산광역시 해운대구 구남로8번길 7-5,35.1628116,129.1591096,330.41,1000,2300,True,False,20161209,,,DA6B_202602592345281.jpg,True,False,0,0,True,,O,False,False,False,False,43,DA,,,False,False
DE9E,롯데프리미엄아울렛동부산점,부산광역시 기장군 기장읍 기장해안로 147 롯데프리미엄아울렛동부산점 2층,35.193561991459234,129.21277426288538,330.51,1030,2100,False,False,20240705,,,DE9E_2024102841223201.jpeg,True,False,0,0,True,,E,False,False,False,False,16,DA,,,True,False
DF0F,해운대중앙점,부산광역시 해운대구 구남로 27,35.161756049363,129.160891004603,330.6,1000,2300,True,False,20250205,,,DF0F_202502351306531.png,True,False,0,0,True,,O,False,False,False,False,28,DA,,,False,False
DACE,다대포항역점,부산광역시 사하구 다대로 550 104호,35.0573979,128.9708199,330.65,1000,2200,False,False,20170331,,,DACE_1.jpg,True,False,0,0,True,,E,False,False,False,False,7,E1,,,False,False
DACF,부산다대포점,부산광역시 사하구 다대로 698,35.0485867,128.9653851,331.22,1030,2200,False,False,20170407,,,DACF_1.jpg,True,False,0,0,True,,E,False,False,False,False,8,E1,,,False,False
DB3A,제주함덕점,제주특별자치도 제주시 조천읍 조함해안로 522 외 1필지,33.5425002,126.6686545,448.1,1030,2200,False,False,20180330,,,DB3A_2025082410935401.png,True,False,0,0,True,,E,False,False,False,False,21,DA,,,False,False
DE8A,제주세화점,제주특별자치도 제주시 구좌읍 일주동로 3113,33.5232458500246,126.852454106428,449.48,1000,2130,False,False,20240711,,,DE8A_2024102811030061.jpg,True,False,0,0,True,,E,False,False,False,False,5,E1,,,False,False
DA10,제주탑동점,제주특별자치도 제주시 탑동로 15-1,33.5170276,126.5231102,451.95,1100,2230,False,False,20170330,,,DA10_1.jpg,True,False,0,0,True,,E,False,False,False,False,16,DA,,,False,False
